epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.4673,0.811,0.3209,0.9068,0.878,0.99,0.9925,0.8734,0.9331,1e-05
2,0.2044,0.9544,0.1526,0.9617,0.9588,0.9701,0.9931,0.8429,0.9237,1e-05
3,0.1132,0.9752,0.1085,0.9719,0.9725,0.9701,0.9952,0.8429,0.9305,1e-05
4,0.0747,0.9856,0.0759,0.9834,0.9863,0.9751,0.9954,0.8125,0.9299,1e-05
5,0.0559,0.9869,0.0716,0.9796,0.9811,0.9751,0.9963,0.8333,0.9411,1e-05
6,0.042,0.9923,0.0682,0.9821,0.9845,0.9751,0.9969,0.8365,0.9444,1e-05
7,0.0332,0.9939,0.0592,0.9821,0.9845,0.9751,0.9967,0.8381,0.9474,1e-05
8,0.0242,0.9973,0.0617,0.9796,0.9811,0.9751,0.9976,0.8413,0.9477,1e-05
9,0.0196,0.9986,0.0622,0.9796,0.9794,0.9801,0.9973,0.8494,0.9485,1e-05
10,0.0163,0.9986,0.0606,0.9808,0.9811,0.9801,0.9969,0.8462,0.9457,1e-05
11,0.0137,0.9989,0.0583,0.9796,0.9828,0.9701,0.9971,0.8462,0.9432,1e-05
12,0.0154,0.998,0.0553,0.9796,0.9845,0.9652,0.9961,0.8413,0.9382,5e-06
13,0.0123,0.9991,0.0642,0.977,0.9759,0.9801,0.9971,0.8606,0.9481,5e-06
14,0.0088,0.9995,0.058,0.9783,0.9794,0.9751,0.9971,0.851,0.9454,5e-06
15,0.0082,1.0,0.0529,0.9821,0.9897,0.9602,0.9967,0.8349,0.9352,5e-06
16,0.0088,0.9995,0.052,0.9808,0.9897,0.9552,0.9962,0.8333,0.928,2.5e-06
17,0.0081,0.9993,0.0573,0.9808,0.9828,0.9751,0.9967,0.8494,0.9393,2.5e-06
18,0.0072,0.9998,0.0533,0.9834,0.9897,0.9652,0.9968,0.8365,0.932,2.5e-06
19,0.0094,0.9982,0.0551,0.9808,0.9828,0.9751,0.9966,0.851,0.9386,2.5e-06
20,0.0071,0.9995,0.0552,0.9796,0.9828,0.9701,0.997,0.8446,0.9388,1.25e-06
21,0.0061,0.9998,0.0538,0.9821,0.988,0.9652,0.9968,0.8397,0.9342,1.25e-06
22,0.006,0.9998,0.0608,0.9783,0.9794,0.9751,0.9973,0.8654,0.9455,1.25e-06
23,0.0066,1.0,0.0535,0.9821,0.9897,0.9602,0.9963,0.8349,0.9279,1.25e-06
24,0.0066,0.9998,0.0572,0.9808,0.9828,0.9751,0.997,0.8494,0.9433,6.25e-07
25,0.0064,1.0,0.0548,0.9796,0.9828,0.9701,0.9969,0.8446,0.9388,6.25e-07
26,0.0061,0.9998,0.0529,0.9821,0.9897,0.9602,0.9966,0.8349,0.9275,6.25e-07
27,0.0053,1.0,0.0579,0.9808,0.9828,0.9751,0.9972,0.8542,0.9419,6.25e-07
