epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
61,0.0056,0.9989,0.0589,0.9796,0.9845,0.9652,0.9972,0.8542,0.9482,1.25e-06
62,0.0041,0.9991,0.0586,0.9821,0.988,0.9652,0.9973,0.8413,0.9475,1.25e-06
63,0.0039,0.9993,0.0607,0.9783,0.9811,0.9701,0.9972,0.8526,0.9487,1.25e-06
64,0.0022,1.0,0.0655,0.9783,0.9794,0.9751,0.9974,0.859,0.948,1.25e-06
65,0.0033,0.9991,0.0594,0.9808,0.9863,0.9652,0.9972,0.8478,0.9473,6.25e-07
66,0.0024,0.9995,0.066,0.9783,0.9794,0.9751,0.9973,0.8606,0.9504,6.25e-07
67,0.0035,0.9989,0.0574,0.9834,0.9897,0.9652,0.9973,0.8397,0.9509,6.25e-07
68,0.0041,0.9991,0.0636,0.9783,0.9811,0.9701,0.9974,0.8542,0.9495,6.25e-07
69,0.0044,0.9991,0.0592,0.9821,0.988,0.9652,0.9972,0.8446,0.949,3.125e-07
70,0.0033,0.9993,0.0651,0.977,0.9794,0.9701,0.9974,0.859,0.949,3.125e-07
71,0.0031,0.9991,0.0583,0.9808,0.9863,0.9652,0.9973,0.8446,0.9494,3.125e-07
72,0.0031,0.9993,0.0602,0.9783,0.9811,0.9701,0.9974,0.8526,0.9489,3.125e-07
73,0.0023,0.9998,0.0583,0.9834,0.9897,0.9652,0.9974,0.8478,0.9477,1.5625e-07
74,0.0032,0.9995,0.0635,0.9783,0.9811,0.9701,0.9973,0.8574,0.9504,1.5625e-07
75,0.0027,0.9995,0.0592,0.9796,0.9845,0.9652,0.9973,0.8494,0.9491,1.5625e-07
76,0.0023,0.9995,0.0571,0.9834,0.988,0.9701,0.9976,0.8429,0.9476,1.5625e-07
77,0.0026,0.9995,0.0599,0.9808,0.9845,0.9701,0.9972,0.8494,0.9463,1.5625e-07
78,0.0026,0.9993,0.0639,0.9783,0.9794,0.9751,0.9974,0.8606,0.9488,1.5625e-07
79,0.003,0.9991,0.0572,0.9821,0.9897,0.9602,0.9972,0.8349,0.9464,1.5625e-07
80,0.0034,0.9998,0.0613,0.9796,0.9811,0.9751,0.9975,0.8542,0.9468,7.8125e-08
81,0.003,0.9989,0.0576,0.9834,0.988,0.9701,0.9973,0.8478,0.9497,7.8125e-08
82,0.003,0.9995,0.0635,0.9796,0.9811,0.9751,0.9975,0.8574,0.9512,7.8125e-08
