epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
62,0.0001,1.0,0.0732,0.9821,0.988,0.9652,0.9979,0.8429,0.955,3.125e-07
63,0.0001,1.0,0.0731,0.9821,0.988,0.9652,0.998,0.8478,0.9559,3.125e-07
64,0.0002,1.0,0.0748,0.9796,0.9845,0.9652,0.998,0.8542,0.9558,3.125e-07
65,0.0002,1.0,0.0735,0.9834,0.9897,0.9652,0.9979,0.8333,0.9545,1.5625e-07
66,0.0001,1.0,0.0716,0.9834,0.9897,0.9652,0.9979,0.8285,0.9545,1.5625e-07
67,0.0001,1.0,0.0735,0.9821,0.988,0.9652,0.998,0.8494,0.9563,1.5625e-07
68,0.0002,1.0,0.0761,0.9808,0.9863,0.9652,0.9979,0.8574,0.9565,1.5625e-07
69,0.0001,1.0,0.0716,0.9821,0.9897,0.9602,0.998,0.8285,0.9544,7.8125e-08
70,0.0001,1.0,0.0793,0.9783,0.9828,0.9652,0.9979,0.8574,0.9563,7.8125e-08
71,0.0001,1.0,0.0782,0.9808,0.9863,0.9652,0.9979,0.8526,0.9546,7.8125e-08
72,0.0001,1.0,0.0826,0.977,0.9811,0.9652,0.9978,0.8622,0.9567,7.8125e-08
73,0.0001,1.0,0.0902,0.9745,0.9759,0.9701,0.9978,0.8638,0.9586,3.90625e-08
74,0.0001,1.0,0.0749,0.9808,0.9863,0.9652,0.9979,0.8542,0.956,3.90625e-08
75,0.0001,1.0,0.0723,0.9834,0.9897,0.9652,0.9979,0.8397,0.9545,3.90625e-08
76,0.0003,1.0,0.0729,0.9834,0.9897,0.9652,0.9979,0.8349,0.9549,3.90625e-08
77,0.0001,1.0,0.0739,0.9821,0.988,0.9652,0.9979,0.8397,0.9556,1.953125e-08
78,0.0001,1.0,0.0717,0.9834,0.9897,0.9652,0.9979,0.8349,0.9548,1.953125e-08
79,0.0001,1.0,0.0786,0.9783,0.9828,0.9652,0.9979,0.8558,0.9568,1.953125e-08
80,0.0002,1.0,0.0713,0.9834,0.9897,0.9652,0.998,0.8269,0.9557,1.953125e-08
81,0.0001,1.0,0.0727,0.9834,0.9897,0.9652,0.9979,0.8381,0.9552,1.953125e-08
82,0.0001,1.0,0.071,0.9834,0.9897,0.9652,0.998,0.8349,0.9548,1.953125e-08
83,0.0004,0.9998,0.0713,0.9808,0.9897,0.9552,0.998,0.8141,0.9541,1.953125e-08
84,0.0001,1.0,0.0733,0.9808,0.9863,0.9652,0.998,0.8526,0.9563,1.953125e-08
85,0.0002,1.0,0.0741,0.9821,0.988,0.9652,0.9979,0.8446,0.9553,1.953125e-08
86,0.0001,1.0,0.0762,0.9796,0.9845,0.9652,0.9979,0.851,0.9563,1.953125e-08
87,0.0001,1.0,0.0759,0.9808,0.9863,0.9652,0.998,0.8542,0.9567,1.953125e-08
88,0.0004,1.0,0.0747,0.9821,0.988,0.9652,0.9979,0.8478,0.9554,1.953125e-08
89,0.0001,1.0,0.0739,0.9821,0.988,0.9652,0.9979,0.8429,0.9548,1.953125e-08
90,0.0002,1.0,0.0727,0.9808,0.9897,0.9552,0.9978,0.8189,0.954,1.953125e-08
91,0.0001,1.0,0.0765,0.9796,0.9845,0.9652,0.998,0.8558,0.9565,1.953125e-08
92,0.0001,1.0,0.0714,0.9834,0.9897,0.9652,0.9981,0.8381,0.9559,1.953125e-08
93,0.0001,1.0,0.0749,0.9808,0.9863,0.9652,0.9979,0.8526,0.9564,1.953125e-08
94,0.0001,1.0,0.0726,0.9821,0.988,0.9652,0.998,0.8446,0.9555,1.953125e-08
95,0.0001,1.0,0.0725,0.9821,0.988,0.9652,0.9981,0.8413,0.9553,1.953125e-08
96,0.0019,0.9995,0.0723,0.9821,0.988,0.9652,0.9979,0.8462,0.956,1.953125e-08
97,0.0005,1.0,0.0766,0.9808,0.9863,0.9652,0.9979,0.8558,0.956,1.953125e-08
98,0.0009,0.9995,0.0769,0.9796,0.9845,0.9652,0.998,0.859,0.9569,1.953125e-08
99,0.0002,1.0,0.0727,0.9834,0.9897,0.9652,0.9979,0.8365,0.9551,1.953125e-08
100,0.0001,1.0,0.0725,0.9821,0.988,0.9652,0.9979,0.8397,0.9557,1.953125e-08
