epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
62,0.0001,1.0,0.079,0.977,0.9828,0.9602,0.9969,0.8478,0.9473,6.25e-07
63,0.0001,1.0,0.0988,0.9757,0.9759,0.9751,0.9968,0.8734,0.9503,6.25e-07
64,0.0,1.0,0.0879,0.9757,0.9777,0.9701,0.9967,0.8606,0.9484,6.25e-07
65,0.0001,1.0,0.0823,0.9796,0.9845,0.9652,0.9969,0.8574,0.9485,3.125e-07
66,0.0001,1.0,0.0822,0.977,0.9811,0.9652,0.9969,0.8558,0.9472,3.125e-07
67,0.0,1.0,0.0847,0.977,0.9811,0.9652,0.9968,0.859,0.9491,3.125e-07
68,0.0,1.0,0.0819,0.977,0.9794,0.9701,0.997,0.8606,0.9483,3.125e-07
69,0.0,1.0,0.0901,0.9757,0.9777,0.9701,0.9967,0.8606,0.9481,1.5625e-07
70,0.0,1.0,0.081,0.9783,0.9897,0.9453,0.9968,0.8413,0.9464,1.5625e-07
71,0.0001,1.0,0.0812,0.9808,0.9897,0.9552,0.9969,0.8349,0.9449,1.5625e-07
72,0.0,1.0,0.0784,0.9783,0.9845,0.9602,0.9971,0.8526,0.9471,1.5625e-07
73,0.0003,0.9998,0.0818,0.977,0.9811,0.9652,0.9969,0.8558,0.9468,7.8125e-08
74,0.0,1.0,0.0831,0.977,0.9828,0.9602,0.9967,0.8526,0.9464,7.8125e-08
75,0.0,1.0,0.085,0.9783,0.9828,0.9652,0.9966,0.8526,0.9488,7.8125e-08
76,0.0001,1.0,0.0821,0.9796,0.988,0.9552,0.9967,0.8365,0.945,7.8125e-08
77,0.0,1.0,0.0861,0.9796,0.9828,0.9701,0.9968,0.8654,0.9486,3.90625e-08
78,0.0,1.0,0.0822,0.9796,0.9845,0.9652,0.9968,0.8542,0.9482,3.90625e-08
79,0.0,1.0,0.0868,0.9783,0.9811,0.9701,0.997,0.8622,0.9477,3.90625e-08
80,0.0002,1.0,0.0821,0.9783,0.9828,0.9652,0.9969,0.859,0.9464,3.90625e-08
81,0.0001,1.0,0.081,0.9796,0.9845,0.9652,0.9968,0.8494,0.9473,1.953125e-08
82,0.0,1.0,0.0816,0.9796,0.9845,0.9652,0.9971,0.8574,0.9472,1.953125e-08
83,0.0001,1.0,0.082,0.977,0.9863,0.9502,0.9967,0.8446,0.9475,1.953125e-08
84,0.0,1.0,0.0904,0.9757,0.9777,0.9701,0.9967,0.8622,0.9491,1.953125e-08
85,0.0,1.0,0.0842,0.977,0.9811,0.9652,0.9967,0.8606,0.9485,1.953125e-08
86,0.0,1.0,0.0776,0.9796,0.9863,0.9602,0.9971,0.8494,0.9482,1.953125e-08
87,0.0001,1.0,0.0841,0.977,0.9811,0.9652,0.9968,0.8606,0.9481,1.953125e-08
88,0.0001,1.0,0.0808,0.977,0.9845,0.9552,0.9968,0.8429,0.9477,1.953125e-08
89,0.0,1.0,0.0908,0.977,0.9794,0.9701,0.9969,0.8638,0.9489,1.953125e-08
90,0.0,1.0,0.0793,0.9796,0.9845,0.9652,0.997,0.8542,0.9468,1.953125e-08
91,0.0,1.0,0.087,0.977,0.9794,0.9701,0.9969,0.8622,0.9488,1.953125e-08
92,0.0,1.0,0.0866,0.9783,0.9811,0.9701,0.9968,0.8606,0.948,1.953125e-08
93,0.0,1.0,0.0855,0.9796,0.9845,0.9652,0.9968,0.8622,0.9477,1.953125e-08
94,0.0,1.0,0.0784,0.9796,0.9828,0.9701,0.9972,0.8574,0.9467,1.953125e-08
95,0.0,1.0,0.0868,0.977,0.9828,0.9602,0.9967,0.8606,0.9495,1.953125e-08
96,0.0,1.0,0.0886,0.977,0.9794,0.9701,0.9967,0.8654,0.9492,1.953125e-08
97,0.0,1.0,0.0795,0.9796,0.9845,0.9652,0.9971,0.8542,0.9479,1.953125e-08
98,0.0,1.0,0.0801,0.9783,0.9828,0.9652,0.9969,0.851,0.9482,1.953125e-08
99,0.0001,1.0,0.0868,0.9783,0.9811,0.9701,0.9968,0.859,0.9479,1.953125e-08
100,0.0,1.0,0.0807,0.977,0.9828,0.9602,0.9968,0.8494,0.9464,1.953125e-08
