epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1205,0.9517,0.1432,0.9451,0.9313,0.9851,0.9948,0.891,0.9555,0.001
2,0.0685,0.9756,0.0703,0.9783,0.9966,0.9254,0.9975,0.7901,0.9638,0.001
3,0.0539,0.9804,0.0793,0.9757,1.0,0.9055,0.9975,0.7869,0.9539,0.001
4,0.0392,0.9851,0.0663,0.9693,0.9691,0.9701,0.9976,0.8285,0.9426,0.001
5,0.0493,0.9804,0.0823,0.9706,0.9725,0.9652,0.9969,0.8622,0.9592,0.001
6,0.0306,0.988,0.1713,0.9591,0.9966,0.8507,0.9947,0.7051,0.9164,0.001
7,0.0243,0.9914,0.0935,0.9655,0.9811,0.9204,0.9943,0.758,0.9299,0.001
8,0.026,0.9912,0.0817,0.9668,0.9691,0.9602,0.9956,0.8462,0.9539,0.0005
9,0.0169,0.9937,0.0501,0.9834,0.9983,0.9403,0.999,0.7724,0.9646,0.0005
10,0.0054,0.9989,0.0448,0.9872,0.9897,0.9801,0.9987,0.8349,0.9718,0.0005
11,0.0023,0.9995,0.0545,0.9834,0.9897,0.9652,0.9984,0.8285,0.9655,0.0005
12,0.0035,0.9993,0.056,0.9872,0.9914,0.9751,0.9982,0.8253,0.9654,0.0005
13,0.0033,0.9991,0.0669,0.9821,0.9828,0.9801,0.9984,0.8702,0.9752,0.00025
14,0.0009,1.0,0.0553,0.9834,0.9863,0.9751,0.9984,0.8494,0.9722,0.00025
15,0.0005,1.0,0.0544,0.9847,0.9897,0.9701,0.9985,0.8397,0.9713,0.00025
16,0.0005,1.0,0.0549,0.9872,0.9931,0.9701,0.9986,0.8333,0.9711,0.00025
17,0.0005,0.9998,0.0558,0.986,0.9897,0.9751,0.9984,0.8462,0.967,0.000125
18,0.0004,1.0,0.0559,0.9872,0.9914,0.9751,0.9983,0.8397,0.969,0.000125
19,0.0009,0.9998,0.0569,0.986,0.988,0.9801,0.9987,0.8606,0.9742,0.000125
20,0.0005,1.0,0.0578,0.9847,0.9897,0.9701,0.9985,0.8446,0.9704,0.000125
21,0.0002,1.0,0.0579,0.986,0.9914,0.9701,0.9985,0.8478,0.9704,6.25e-05
22,0.0001,1.0,0.0607,0.9847,0.988,0.9751,0.9985,0.8606,0.9711,6.25e-05
23,0.0003,1.0,0.0579,0.986,0.9914,0.9701,0.9986,0.8349,0.9711,6.25e-05
24,0.0002,1.0,0.0579,0.9834,0.988,0.9701,0.9985,0.8526,0.971,6.25e-05
25,0.0002,1.0,0.0587,0.9847,0.9897,0.9701,0.9985,0.8526,0.9706,3.125e-05
26,0.0002,1.0,0.0582,0.986,0.9914,0.9701,0.9985,0.8349,0.9705,3.125e-05
27,0.0001,1.0,0.0594,0.9834,0.988,0.9701,0.9986,0.8542,0.9704,3.125e-05
28,0.0001,1.0,0.0583,0.986,0.9914,0.9701,0.9986,0.8365,0.9696,3.125e-05
29,0.0002,1.0,0.0582,0.986,0.9914,0.9701,0.9986,0.8446,0.969,1.5625e-05
30,0.0001,1.0,0.0581,0.986,0.9914,0.9701,0.9986,0.8462,0.9689,1.5625e-05
31,0.0001,1.0,0.0577,0.986,0.9914,0.9701,0.9986,0.8429,0.9689,1.5625e-05
32,0.0001,1.0,0.0581,0.986,0.9914,0.9701,0.9986,0.8349,0.9679,1.5625e-05
33,0.0001,1.0,0.0577,0.986,0.9914,0.9701,0.9986,0.8349,0.9689,7.8125e-06
34,0.0003,1.0,0.0593,0.9872,0.9931,0.9701,0.9986,0.8333,0.9686,7.8125e-06
35,0.0001,1.0,0.0577,0.986,0.9914,0.9701,0.9986,0.8478,0.9692,7.8125e-06
36,0.0002,1.0,0.0586,0.986,0.9914,0.9701,0.9986,0.8381,0.9692,7.8125e-06
37,0.0001,1.0,0.0586,0.9834,0.988,0.9701,0.9986,0.8526,0.9694,3.90625e-06
38,0.0001,1.0,0.0587,0.9834,0.988,0.9701,0.9986,0.8526,0.9695,3.90625e-06
39,0.0001,1.0,0.0591,0.9834,0.988,0.9701,0.9986,0.8526,0.9691,3.90625e-06
40,0.0002,1.0,0.0581,0.986,0.9914,0.9701,0.9986,0.8446,0.9683,3.90625e-06
41,0.0001,1.0,0.058,0.9847,0.9897,0.9701,0.9986,0.8478,0.9687,1.953125e-06
42,0.0001,1.0,0.0589,0.9847,0.9897,0.9701,0.9986,0.851,0.969,1.953125e-06
43,0.0002,1.0,0.0581,0.986,0.9914,0.9701,0.9986,0.8446,0.9684,1.953125e-06
44,0.0001,1.0,0.0579,0.986,0.9914,0.9701,0.9986,0.8446,0.9689,1.953125e-06
45,0.0002,1.0,0.0594,0.9847,0.9897,0.9701,0.9986,0.8526,0.969,9.765625e-07
46,0.0001,1.0,0.0588,0.986,0.9914,0.9701,0.9986,0.8333,0.9681,9.765625e-07
47,0.0001,1.0,0.0579,0.986,0.9914,0.9701,0.9986,0.8333,0.968,9.765625e-07
48,0.0001,1.0,0.0574,0.986,0.9914,0.9701,0.9986,0.8397,0.9686,9.765625e-07
49,0.0001,1.0,0.0605,0.9847,0.988,0.9751,0.9986,0.8558,0.9687,4.8828125e-07
50,0.0001,1.0,0.0584,0.986,0.9914,0.9701,0.9986,0.8494,0.9686,4.8828125e-07
51,0.0001,1.0,0.0582,0.986,0.9914,0.9701,0.9986,0.8446,0.9693,4.8828125e-07
52,0.0001,1.0,0.0577,0.986,0.9914,0.9701,0.9986,0.8365,0.9691,4.8828125e-07
