epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
72,0.0026,0.2292,0.9413,0.9983,0.7761,0.9956,1.220703125e-08
73,0.0011,0.2255,0.9425,0.9983,0.7811,0.9956,1.220703125e-08
74,0.0019,0.2204,0.9438,0.9983,0.7861,0.9954,1.220703125e-08
75,0.0027,0.2036,0.9464,0.9983,0.796,0.9956,1.220703125e-08
76,0.0023,0.2418,0.9413,0.9983,0.7761,0.9953,1.220703125e-08
77,0.0024,0.2049,0.9464,0.9983,0.796,0.9957,1.220703125e-08
78,0.0019,0.2292,0.9413,0.9983,0.7761,0.9956,1.220703125e-08
79,0.0023,0.2201,0.9451,0.9983,0.791,0.9955,1.220703125e-08
80,0.0015,0.2354,0.9413,0.9983,0.7761,0.9954,1.220703125e-08
81,0.002,0.2404,0.9413,0.9983,0.7761,0.9956,1.220703125e-08
82,0.0017,0.2641,0.9361,0.9983,0.7562,0.9952,1.220703125e-08
83,0.0028,0.2364,0.9425,0.9983,0.7811,0.9954,1.220703125e-08
84,0.0015,0.2075,0.9476,0.9983,0.801,0.9952,1.220703125e-08
85,0.0018,0.2358,0.94,0.9983,0.7711,0.9951,1.220703125e-08
86,0.0015,0.2656,0.9349,0.9983,0.7512,0.9949,1.220703125e-08
87,0.0024,0.1809,0.9515,0.9983,0.8159,0.9958,1.220703125e-08
88,0.0028,0.2045,0.9489,0.9983,0.806,0.9953,1.220703125e-08
89,0.0022,0.2212,0.9451,0.9983,0.791,0.9954,1.220703125e-08
90,0.002,0.2383,0.94,0.9983,0.7711,0.9954,1.220703125e-08
91,0.0028,0.2306,0.9413,0.9983,0.7761,0.9956,1.220703125e-08
92,0.0027,0.2687,0.9349,0.9983,0.7512,0.9955,1.220703125e-08
93,0.0023,0.2244,0.9413,0.9983,0.7761,0.9953,1.220703125e-08
94,0.0021,0.2388,0.9425,0.9983,0.7811,0.9949,1.220703125e-08
95,0.0018,0.2387,0.9425,0.9983,0.7811,0.9952,1.220703125e-08
96,0.0032,0.2433,0.9387,0.9983,0.7662,0.9951,1.220703125e-08
97,0.0019,0.2313,0.94,0.9983,0.7711,0.9952,1.220703125e-08
98,0.0029,0.2138,0.9464,0.9983,0.796,0.9953,1.220703125e-08
99,0.0026,0.242,0.9387,0.9983,0.7662,0.9949,1.220703125e-08
100,0.0018,0.2292,0.9425,0.9983,0.7811,0.9949,1.220703125e-08
