epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.1432,0.9465,0.0542,0.9872,0.9966,0.9602,0.9976,0.7901,0.952,0.0001
2,0.0372,0.9903,0.0458,0.9796,0.9845,0.9652,0.9983,0.8061,0.9493,0.0001
3,0.0143,0.9966,0.0675,0.977,0.9742,0.9851,0.9986,0.867,0.9581,0.0001
4,0.0065,0.9991,0.0432,0.986,0.9897,0.9751,0.9982,0.8285,0.9303,0.0001
5,0.0082,0.9977,0.0423,0.986,0.988,0.9801,0.9988,0.859,0.9533,0.0001
6,0.0055,0.9986,0.0427,0.9821,0.9863,0.9701,0.9988,0.8285,0.9161,0.0001
7,0.0022,1.0,0.0376,0.9885,0.9914,0.9801,0.9989,0.8462,0.923,0.0001
8,0.0015,1.0,0.0474,0.9872,0.9948,0.9652,0.9984,0.8173,0.895,0.0001
9,0.0009,1.0,0.0416,0.9847,0.988,0.9751,0.999,0.8478,0.9024,0.0001
10,0.0007,1.0,0.042,0.986,0.9931,0.9652,0.9988,0.8429,0.8933,0.0001
11,0.0008,1.0,0.0449,0.986,0.9948,0.9602,0.9982,0.8269,0.8873,0.0001
12,0.0167,0.9939,0.0647,0.977,0.9742,0.9851,0.9985,0.8638,0.9491,0.0001
13,0.0169,0.9939,0.0296,0.986,0.9914,0.9701,0.9993,0.8526,0.9702,0.0001
14,0.0058,0.9982,0.047,0.9872,0.9983,0.9552,0.9986,0.8173,0.9374,0.0001
15,0.0049,0.9984,0.0445,0.9847,0.9931,0.9602,0.9988,0.8285,0.9479,0.0001
16,0.0014,1.0,0.0317,0.9872,0.9897,0.9801,0.9993,0.8526,0.946,0.0001
17,0.0008,1.0,0.0367,0.986,0.9897,0.9751,0.9992,0.8542,0.9333,5e-05
18,0.0005,1.0,0.0337,0.9834,0.988,0.9701,0.9993,0.8462,0.934,5e-05
19,0.0009,1.0,0.0422,0.986,0.988,0.9801,0.9992,0.8606,0.9376,5e-05
20,0.0004,1.0,0.0407,0.986,0.9897,0.9751,0.9992,0.8542,0.9374,5e-05
